Strain,Fracture Stress (GPa)
0.0,0.70070874792621
0.000495000000000045,0.85180833491052
0.000995000000000079,0.967505462907971
0.00149500000000011,1.42859424138758
0.00199500000000001,1.69368557699892
0.00249499999999991,1.54960842421872
0.00299499999999994,1.96488796476036
0.00349499999999997,2.42317653157677
0.00399500000000001,2.28628659584872
0.00449500000000004,2.49817902313988
0.00499500000000008,2.99785164773555
0.00549500000000011,3.07630249367443
0.00599500000000001,3.1315222815968
0.0064949999999999,3.57772812611128
0.00699499999999994,3.83701855996743
0.00749499999999997,3.77380891129885
0.00799500000000001,4.08495307548996
0.00849500000000004,4.54147260515805
0.00899500000000007,4.47714464323317
0.00949500000000011,4.61794512869506
0.00999500000000014,5.19843370459195
0.010495,5.19051656036312
0.0109949999999999,5.16105847713636
0.011495,5.69422341318384
0.011995,5.92665729482567
0.012495,5.82983461206464
0.0129950000000001,6.17760097072097
0.0134950000000001,6.57022329134111
0.0139950000000001,6.5492984192738
0.014495,6.65237156947065
0.0149949999999999,7.08826211410012
0.015495,7.29846304740645
0.015995,7.27034173361298
0.016495,7.57526569990188
0.0169950000000001,7.91349335557567
0.0174950000000001,7.94119001385662
0.0179950000000001,8.08783840137599
0.018495,8.48289156254266
0.0189949999999999,8.6157879372869
0.019495,8.67989907731717
0.019995,8.97702123436408
0.020495,9.21012263032563
0.0209950000000001,9.26654390257881
0.0214950000000001,9.49771718638683
0.0219950000000001,9.80343542654353
0.022495,9.89093016743967
0.0229949999999999,9.99532954153275
0.023495,10.3068150879823
0.023995,10.5268596108773
0.024495,10.5878629366053
0.0249950000000001,10.7975841311464
0.0254950000000001,11.1197501901333
0.0259950000000001,11.2020980577049
0.026495,11.3260619388026
0.0269949999999999,11.6109398312461
0.027495,11.7765359964259
0.027995,11.8641132551995
0.028495,12.1137248559354
0.0289950000000001,12.3470935057317
0.0294950000000001,12.457014591153
0.0299950000000001,12.6549262903667
0.030495,12.8897881344301
0.0309949999999999,13.0110104475343
0.031495,13.1437475349783
0.031995,13.3799223991699
0.032495,13.6088612001876
0.0329950000000001,13.7548607518568
0.0334950000000001,13.9192483546597
0.0339950000000001,14.1184512414133
0.034495,14.25944155308
0.0349949999999999,14.382493497093
0.035495,14.5814708358798
0.035995,14.8129930511829
0.036495,14.9538836038079
0.0369950000000001,15.1669880969094
0.0374950000000001,15.3655228907069
0.0379950000000001,15.5046813325125
0.038495,15.6482483820548
0.0389949999999999,15.8472946370818
0.0394949999999999,16.0307374819964
0.039995,16.1902967667616
0.040495,16.3378939735605
0.0409950000000001,16.5502152745898
0.0414950000000001,16.6858312883609
0.0419950000000001,16.8355026380418
0.0424950000000002,17.025610289416
0.0429949999999999,17.1734371182808
0.0434949999999999,17.3221455263662
0.043995,17.5130952981889
0.044495,17.7329130055222
0.044995,17.8738304852222
0.0454950000000001,18.0354247473283
0.0459950000000001,18.2342067543072
0.0464950000000001,18.4305463827583
0.0469949999999999,18.5382676632692
0.0474949999999999,18.7127998506063
0.047995,18.8697937555785
0.048495,19.0215771678844
0.048995,19.1900007336558
0.0494950000000001,19.3546638806078
0.0499950000000001,19.5276623266705
0.0504950000000001,19.6755437032752
0.0509949999999999,19.8120091393671
0.0514949999999999,19.9912633114438
0.051995,20.1413973830565
0.052495,20.3175232389269
0.052995,20.4738732048955
0.0534950000000001,20.6362373185741
0.0539950000000001,20.8074977378877
0.0544950000000001,20.9563259957619
0.0549949999999999,21.1463956941645
0.0554949999999999,21.3254798229197
0.055995,21.4641554889202
0.056495,21.6445283515555
0.056995,21.8105184019322
0.0574950000000001,21.9604360358047
0.0579950000000001,22.1127167583582
0.0584950000000001,22.2788397524454
0.0589949999999999,22.4345117732183
0.0594949999999999,22.5846865766952
0.059995,22.7329342176679
0.060495,22.9061559780105
0.060995,23.0614614935158
0.0614950000000001,23.2042443038651
0.0619950000000001,23.3591411565586
0.0624950000000001,23.5089827039636
0.0629949999999999,23.6367592339524
0.0634949999999999,23.8001181991816
0.063995,23.9608213337896
0.064495,24.0998524841354
0.064995,24.2631129857526
0.0654950000000001,24.4321944703658
0.0659950000000001,24.5643388000221
0.0664950000000001,24.6933142286411
0.066995,24.8921173644236
0.0674949999999999,25.0073977894916
0.067995,25.1314151742056
0.068495,25.2970955992804
0.068995,25.4294867978428
0.0694950000000001,25.5731281953791
0.0699950000000001,25.7406776935178
0.0704950000000001,25.863383919936
0.070995,26.0267613077766
0.0714949999999999,26.1533855371491
0.071995,26.285852786012
0.072495,26.4151701287319
0.072995,26.5667458705434
0.0734950000000001,26.7036758326377
0.0739950000000001,26.8326760215274
0.0744950000000001,26.9891512072733
0.0749950000000002,27.1314865807699
0.0754949999999999,27.2802598190041
0.075995,27.4348349689904
0.076495,27.5774192794082
0.076995,27.7184112591641
0.0774950000000001,27.8530264013493
0.0779950000000001,28.0024143395403
0.0784950000000001,28.1408226084343
0.078995,28.2688903265846
0.0794949999999999,28.3951679440356
0.079995,28.5387065343224
0.080495,28.6567932035141
0.080995,28.8002237992016
0.0814950000000001,28.9436991533594
0.0819950000000001,29.1060293869253
0.0824950000000001,29.2437250106134
0.0829950000000002,29.3813727182947
0.0834949999999999,29.5306597217285
0.083995,29.6329105064487
0.084495,29.7487957708706
0.084995,29.8941308503267
0.0854950000000001,30.0223033419854
0.0859950000000001,30.1465396453891
0.0864950000000001,30.2869632033101
0.0869950000000002,30.4382023307689
0.0874949999999999,30.5595818991284
0.0879949999999999,30.7024008914743
0.088495,30.8251076219196
0.088995,30.9617378190681
0.089495,31.0310187245408
