# Time-averaged data for fix 3
# TimeStep v_xstress v_ystress v_zstress
1000 -0.017911 -0.0145541 1.23275
2000 0.0207261 0.0172152 4.22454
3000 0.00488306 0.00892022 7.11263
4000 0.000903669 0.000559534 9.8707
5000 0.00617861 0.00345256 12.5073
6000 0.00843781 0.0082479 15.0815
7000 -0.00273785 0.000286738 17.5446
8000 -0.000414083 -0.000692051 19.9465
9000 0.00228557 -0.00189673 22.3101
10000 0.00255772 0.00607882 24.5987
11000 0.00455147 0.00470506 26.8197
12000 0.0022155 0.00175379 28.987
13000 0.000871743 0.00411791 31.0827
14000 0.00508718 -0.00427137 33.1307
15000 -0.0014962 0.00732016 35.1193
16000 0.00599727 0.00368136 37.057
17000 0.000753792 0.00154816 38.8996
18000 0.00420933 0.00443267 40.6961
19000 0.00520721 -0.00363579 42.4284
20000 -0.00676518 0.004011 44.1133
21000 0.00419852 0.00168052 45.738
22000 0.00165618 0.0029224 47.2848
23000 0.00312478 0.00320214 48.7814
24000 0.00672713 -0.0016764 50.2118
25000 -0.00269818 0.00981334 51.5926
26000 0.00544303 -0.00460993 52.8975
27000 1.1312e-05 0.00480705 54.1649
28000 0.0033479 -0.000996282 55.3661
29000 -0.000147603 0.00406494 56.5305
30000 0.00187796 0.00342419 57.6314
31000 0.00424622 -0.00263367 58.6773
32000 -4.09152e-05 0.00965174 59.6679
33000 0.00409821 -0.00596047 60.6027
34000 -0.00179887 0.00506025 61.4957
35000 0.00426198 -0.00377141 62.3364
36000 -0.000839485 0.00727884 63.132
37000 0.00532677 -0.000516601 63.899
38000 -0.00193844 0.00336726 64.6294
39000 -0.000628887 -0.00711684 65.3179
40000 0.00797569 0.0178056 65.9756
41000 -0.00178208 -0.00669621 66.6208
42000 0.00235265 0.0024388 67.2416
43000 0.00188723 -0.000149078 67.8545
44000 -0.000569212 0.00697302 68.4488
45000 0.00321582 -0.00268926 69.0433
46000 0.00266623 0.00216313 69.6229
47000 0.00185618 0.000267399 70.2133
48000 0.000656419 0.00537124 70.7937
49000 0.00464853 -0.00252216 71.383
50000 -0.00177909 0.000766375 71.9854
51000 0.000825862 0.00474299 72.6147
52000 0.00643185 0.00310336 73.2792
53000 -0.0033423 -0.00123136 73.9795
54000 0.00564542 0.00108982 74.6445
55000 -0.0046643 0.00432955 75.3966
56000 0.0102602 -0.00172093 76.2179
57000 -0.00699417 0.00208735 77.1125
58000 0.00966214 0.00113347 78.1072
59000 -0.00578351 0.00507448 79.2283
60000 0.0030174 -0.000833325 80.511
61000 0.0072809 0.00332285 81.9909
62000 -0.00394627 0.00544935 83.6361
63000 0.00658936 -0.00559353 85.5411
64000 -0.00178233 0.00630732 87.7498
65000 0.00756201 0.00190138 90.232
66000 -0.00442579 0.000317928 92.9527
67000 0.00254043 0.00260051 95.894
68000 0.00511348 0.00250379 99.1028
69000 -0.000614087 0.00433148 102.484
70000 0.00343826 -0.000588394 106.059
71000 0.00309096 0.00294857 109.793
72000 -0.00162415 0.00250014 113.72
73000 0.00389819 -0.00146394 117.89
74000 0.00290586 0.0034434 122.326
75000 0.000704961 0.00392358 127.136
76000 0.00189113 -0.00142659 132.336
77000 0.00144624 0.0027462 137.922
78000 0.00483227 0.00442587 143.646
79000 -0.0406886 -0.0374271 78.3466
80000 0.00199383 0.00112041 32.1062
81000 -0.00122175 -0.00106271 19.9697
82000 -0.000883881 -0.000922056 2.41641
83000 -0.01207 -0.0071714 -15.5011
84000 0.0231037 -0.000517266 -1.20814
85000 -0.0122987 0.00537147 1.7227
86000 -0.00522836 0.0134654 4.16357
87000 0.0125152 -0.0146387 -2.99589
88000 -0.00303161 0.00575849 -2.83321
89000 0.0117836 -0.00263149 4.20095
90000 -0.0119309 0.00590325 0.622707
91000 -0.00342984 0.00343372 -4.40028
92000 0.021236 -0.00344016 1.97565
93000 -0.00853949 0.0101562 2.83152
94000 -0.00121866 -0.0108565 -3.43405
95000 0.0024316 0.00560769 -0.381909
96000 0.00500435 0.0194627 3.49872
97000 0.00554561 -0.0242295 -1.91269
98000 -0.0169224 0.00252634 -1.56208
99000 0.0244407 0.0278907 3.11844
100000 0.00481544 -0.0102544 -0.904066
