# Time-averaged data for fix 3
# TimeStep v_xstress v_ystress v_zstress
1000 0.0398105 0.0311806 2.78398
2000 -0.0338162 -0.0235321 6.40637
3000 -0.00688921 -0.00904755 9.93627
4000 0.0318985 0.0208572 13.3409
5000 0.00611168 0.0190451 16.6461
6000 0.00331963 -0.0177162 19.9075
7000 -0.012754 0.0100613 22.9512
8000 0.00807717 0.0067738 25.9983
9000 0.0190439 -0.000642581 28.9315
10000 0.00189639 0.0128621 31.7934
11000 -0.00224707 0.000906044 34.5367
12000 0.00108544 0.00235476 37.2384
13000 0.0122454 -0.00113336 39.9308
14000 -0.00455054 0.0155577 42.4685
15000 0.00883511 -0.00152756 44.934
16000 0.00706916 0.00798706 47.3352
17000 0.00333847 0.00596928 49.6341
18000 0.00543217 -0.00498154 51.8403
19000 -0.0076179 0.0104337 54.0073
20000 0.0127831 -0.0166495 56.1799
21000 -0.0149444 0.0206012 58.1773
22000 0.0107302 -0.0108764 60.1315
23000 0.00221921 0.014189 61.9757
24000 0.019549 0.000780251 63.7442
25000 -0.00467861 0.0186272 65.4428
26000 8.07143e-06 -0.000672416 67.0712
27000 0.00766176 -0.00610191 68.6109
28000 -0.0020558 0.00622851 70.1463
29000 0.0179385 0.00549577 71.6005
30000 -0.00677728 0.0164086 72.9647
31000 0.0135324 -0.0103006 74.2246
32000 -0.0012162 0.002053 75.4673
33000 0.00373051 0.00959755 76.6112
34000 0.00500258 -0.00138915 77.7267
35000 -0.00552819 0.00605378 78.7879
36000 0.00515254 0.0069564 79.7488
37000 0.00413559 0.013027 80.7194
38000 -0.00529168 -0.0048438 81.5847
39000 0.0157783 -0.00626089 82.4088
40000 0.00170635 0.00937042 83.2407
41000 0.00538015 -0.00285734 84.0616
42000 0.00653461 0.00873796 84.8088
43000 -0.014542 0.00237127 85.5483
44000 0.0184171 0.00439517 86.2285
45000 -0.000142782 0.00495569 87.0261
46000 -0.00106789 -0.000474705 87.7307
47000 0.012773 0.00663881 88.4296
48000 -0.00701133 0.00306102 89.1266
49000 0.00711019 0.00558294 89.8758
50000 0.00742098 -0.00112813 90.6488
51000 0.000836486 0.0051797 91.4008
52000 0.0111033 -0.00310661 92.2552
53000 -0.0167449 0.00317676 93.0995
54000 0.00768963 0.0170756 94.0097
55000 0.00419649 -0.00825934 94.9882
56000 0.0243666 0.00999182 96.0553
57000 -0.0110728 -0.00435111 97.2254
58000 0.00371746 0.00994905 98.4943
59000 -0.00569821 -0.00385607 100.001
60000 -0.000345106 0.00511076 101.796
61000 0.00736224 0.00427588 103.744
62000 0.00812238 0.00623141 105.997
63000 0.00232451 -0.000447629 108.587
64000 0.00356629 0.00682648 111.537
65000 -0.00300774 0.000361336 114.819
66000 0.00820206 0.00090879 118.389
67000 -0.00069434 0.0065281 122.365
68000 0.00624127 0.000989329 126.56
69000 0.00523555 0.00224096 130.945
70000 -0.00115574 0.00402045 135.698
71000 0.00364928 0.000352494 140.583
72000 0.0127863 0.00737988 145.723
73000 -0.000642747 0.00543686 151.185
74000 0.00385781 -0.00260199 157.02
75000 -0.00177255 0.00892983 163.324
76000 0.00669233 0.0050342 169.979
77000 0.00334693 0.00297748 176.965
78000 -0.0327427 -0.0331036 162.891
79000 -0.03224 -0.0221754 49.6927
80000 -0.0146552 -0.00975301 -2.89111
81000 0.0355607 0.0428469 -5.20235
82000 -0.0356995 -0.0423858 4.0821
83000 -0.00595495 0.00639264 -4.38585
84000 0.0105557 -0.0281335 3.98709
85000 -0.0231305 0.00927902 -4.37356
86000 -0.0128316 -0.00230136 4.17106
87000 -0.0108901 0.00490564 -3.49919
88000 -0.00400296 -0.020941 3.40423
89000 -0.00401493 0.0208013 -2.90635
90000 0.00998367 -0.0126455 2.14897
91000 -0.039401 -0.00620092 -2.11997
92000 0.0182417 0.00439899 1.53582
93000 -0.0244725 -0.00593591 -1.57508
94000 0.00150932 0.00646369 1.14381
95000 -0.000302152 0.000107929 -1.13788
96000 -0.000326046 -0.0163291 0.878357
97000 -0.0263064 0.0088667 -0.799203
98000 -0.00746793 -0.000324233 0.541839
99000 0.0060881 -0.00115159 -0.596044
100000 -0.00738217 0.000571118 0.454798
