# Time-averaged data for fix 3
# TimeStep v_xstress v_ystress v_zstress
1000 0.041565 0.0241548 2.80971
2000 -0.0324247 -0.0252321 6.38944
3000 -0.0145474 -0.00234562 9.97363
4000 0.0348794 0.0116221 13.3664
5000 0.00892754 0.0253366 16.7194
6000 -0.00519728 -0.00859202 19.9145
7000 -0.00466091 -0.0079785 22.9675
8000 0.0108136 0.00962906 25.9861
9000 0.00525095 0.0152026 28.8978
10000 0.013227 0.00603323 31.7743
11000 -0.00114461 0.0015389 34.5577
12000 -0.00225094 0.000189981 37.2741
13000 0.00555039 -0.00926791 39.881
14000 -0.000377957 0.0154405 42.4306
15000 0.00837272 -0.000457945 44.9194
16000 0.0156691 0.00815145 47.2996
17000 0.00586422 0.0117022 49.6258
18000 0.000753287 0.00938317 51.8633
19000 0.00842598 -0.00159403 54.0295
20000 -0.00199144 0.00733125 56.1321
21000 0.00190476 0.00297028 58.1587
22000 0.0048335 -0.00296287 60.0829
23000 -0.00127886 0.0101527 61.9764
24000 0.0120904 -0.00106021 63.7577
25000 -0.00589106 0.00754998 65.4591
26000 0.00598963 0.00467508 67.0561
27000 0.00901243 -0.00414261 68.6826
28000 0.000109054 0.0086583 70.1539
29000 0.00259633 0.00384021 71.5874
30000 0.00749961 -0.00922885 72.9502
31000 -0.0101507 0.0116355 74.2543
32000 0.00402855 -0.00180994 75.4645
33000 0.00433173 0.00314999 76.6557
34000 -0.0017625 0.0122107 77.7353
35000 0.0134568 -0.00718436 78.7638
36000 0.00935262 0.00765507 79.7684
37000 0.00146411 0.0106989 80.74
38000 -0.00324203 0.0143533 81.5965
39000 0.000954588 -0.0119144 82.4463
40000 0.00452676 -0.000158029 83.2235
41000 0.00654457 0.00175781 83.9973
42000 0.000860657 0.0101224 84.7925
43000 0.00826142 0.00294116 85.5561
44000 0.00238472 -0.00143862 86.2946
45000 -0.00401752 0.00403099 87.0009
46000 0.0110323 0.00300326 87.6779
47000 0.0044668 0.00380872 88.4413
48000 -0.00184512 0.00370272 89.159
49000 0.00636089 0.00154276 89.9112
50000 -0.00195321 0.0109395 90.6292
51000 0.00890917 -0.00466802 91.4138
52000 -0.0018087 0.00689218 92.2461
53000 0.00549465 0.00492108 93.0923
54000 0.00875644 -0.000806034 93.9987
55000 -0.00635086 0.00479508 94.9759
56000 0.00751398 0.00390005 96.03
57000 0.00466626 -1.34791e-05 97.2134
58000 0.00444261 -0.0031542 98.5477
59000 -0.00508585 0.0145941 100.046
60000 0.00545564 0.000654283 101.74
61000 0.00222036 -0.00359817 103.732
62000 0.00573465 0.00812403 105.991
63000 0.00498133 0.00282341 108.611
64000 0.00717251 0.00413876 111.52
65000 0.000193009 0.00267986 114.806
66000 0.000164279 -0.00196195 118.418
67000 0.00298402 0.00431912 122.32
68000 0.00362375 0.00275533 126.506
69000 0.00121289 0.00658644 130.954
70000 0.00819971 -0.000544289 135.643
71000 0.00281843 0.00811864 140.541
72000 0.00504871 0.0072817 145.712
73000 0.0020579 0.00151157 151.169
74000 0.0042769 0.00198104 156.994
75000 0.000808876 0.00414358 163.219
76000 0.0018003 0.00201694 169.9
77000 -0.0207066 -0.031625 151.968
78000 -0.0108515 -0.0105235 70.6829
79000 -0.00466159 -0.0028276 42.97
80000 -0.0104909 -0.00667924 23.2272
81000 0.00607349 -0.000131699 -9.15024
82000 0.00415177 -0.0142058 -15.1182
83000 -0.0174305 0.0118202 -0.941242
84000 0.0125603 -0.0161112 8.19378
85000 -0.0144923 -0.015992 0.0512292
86000 -0.00208311 -0.00611204 -9.1476
87000 -0.00840801 0.000522771 1.53769
88000 0.00920866 -0.00544558 7.22981
89000 -0.0123781 -0.0119255 -2.75595
90000 -0.00283407 -0.00248286 -5.70697
91000 -0.0121876 0.00527841 4.62253
92000 0.0158869 -0.00597516 4.14782
93000 -0.00541273 -0.0124668 -4.39661
94000 -0.00694425 0.00210401 -1.82745
95000 0.00135934 0.000437821 4.72182
96000 0.00271034 -0.00956124 0.116899
97000 -0.0117434 -0.00763724 -4.98415
98000 -0.0116249 0.00396376 1.75805
99000 0.0107894 -0.00905602 4.01119
100000 0.00297412 -0.00567501 -3.09337
