# Time-averaged data for fix 3
# TimeStep v_xstress v_ystress v_zstress
1000 0.145726 0.132111 6.47851
2000 -0.164729 -0.169914 9.1752
3000 -0.00292251 0.000463253 11.9288
4000 0.110496 0.130011 14.6008
5000 -0.121559 -0.121067 17.181
6000 0.0684755 0.0762518 19.64
7000 -0.0112324 -0.0146614 22.0163
8000 -0.0110777 -0.0107949 24.3191
9000 0.0286092 0.0291772 26.4741
10000 -0.02071 -0.0235361 28.5952
11000 0.0266561 0.0211476 30.567
12000 -0.0171884 -0.0140515 32.4908
13000 0.0181312 0.0186968 34.289
14000 0.00134371 -0.00719838 36.047
15000 0.00514785 0.0107715 37.696
16000 -0.0105233 -0.00368574 39.3111
17000 0.0158666 0.00864677 40.8498
18000 -0.00152196 -0.00201317 42.3554
19000 0.00647172 0.00764359 43.7265
20000 -0.00213785 0.00823396 45.1183
21000 0.00593408 -0.00155797 46.4253
22000 0.00218254 0.00223742 47.6686
23000 0.00608755 -0.000413461 48.8506
24000 -0.00134261 0.00503021 49.9412
25000 0.0045607 0.00552542 51.0917
26000 0.00295328 0.00113868 52.1124
27000 0.00399968 0.000623748 53.1519
28000 0.000293575 0.00758503 54.0456
29000 0.00323446 0.00423998 54.9863
30000 0.00738684 -0.00282994 55.9125
31000 -0.00318246 0.00613313 56.713
32000 0.00235682 0.00145855 57.5565
33000 0.00736401 -0.000325192 58.464
34000 -0.00179073 0.0114435 59.2787
35000 0.0033007 -0.00178376 60.0921
36000 0.00979519 0.00296465 60.8703
37000 -0.00389918 0.000980775 61.638
38000 0.00279213 0.00467019 62.3553
39000 0.00640138 0.00118252 63.1442
40000 -0.00151249 0.00712255 63.9414
41000 0.00387158 -0.000906802 64.6906
42000 0.00360563 0.00203981 65.4584
43000 0.000886999 0.00507123 66.238
44000 0.00802865 0.000497409 67.0117
45000 -0.00189875 0.001923 67.7778
46000 0.00935456 0.00429249 68.5855
47000 -0.0034697 2.1362e-05 69.4533
48000 0.00769758 0.00555814 70.3811
49000 0.00107552 0.00028932 71.2615
50000 -0.000392801 0.00587062 72.2141
51000 0.00385662 0.00442285 73.2041
52000 0.00561269 0.00407442 74.3359
53000 -0.00244323 -0.00524956 75.561
54000 0.00847606 0.0105896 76.872
55000 0.00502084 -0.00185618 78.4977
56000 -0.00071548 0.00602805 80.1215
57000 0.00544023 0.00310205 82.0291
58000 -0.00345314 0.00374098 84.1044
59000 0.00491169 0.00240081 86.4657
60000 0.00647948 0.00345424 88.9545
61000 0.000525386 -0.0016006 91.6841
62000 0.00573454 0.00525768 94.5363
63000 0.00252618 0.00927019 97.594
64000 0.00101077 -0.00253084 100.865
65000 0.00212892 0.00580613 104.244
66000 0.0053846 -0.00158075 107.743
67000 0.00315884 0.00360628 111.39
68000 0.006298 0.00757925 115.2
69000 -0.00044874 0.00193601 119.163
70000 0.00143284 0.00200126 123.294
71000 0.0015524 -0.000336166 127.616
72000 0.00310075 0.0050833 132.345
73000 0.00797704 0.00553767 137.423
74000 -0.0159758 -0.00837094 120.605
75000 -0.0206816 -0.0114357 60.4774
76000 -0.0193918 -0.0034576 31.2824
77000 0.00133249 -0.00481619 22.9803
78000 0.00247469 0.00256986 17.7019
79000 -0.000385825 -0.000696849 7.893
80000 0.00368537 -0.00159502 -3.45771
81000 -0.00969708 0.00158332 -8.8632
82000 -0.00344934 -0.00637889 -3.62924
83000 0.00680089 0.0038521 2.90672
84000 -0.00982906 -0.00883714 4.75675
85000 -0.00197924 -0.00636981 -0.251068
86000 -0.0138993 -0.00774631 -5.79134
87000 -0.0110076 -0.00916203 -4.65239
88000 -0.00376176 -0.00145879 2.47999
89000 -0.0133289 -0.00268122 6.22909
90000 -0.00513429 -0.000233029 3.07337
91000 -0.0123505 -0.0126285 -2.73962
92000 -0.020931 -0.00389284 -4.77538
93000 0.00246834 0.00483248 -0.782738
94000 0.00899594 -0.00678271 3.04559
95000 -0.0286401 -0.00721459 1.86761
96000 -0.00741781 -0.0113823 -0.751635
97000 0.000132718 0.00233396 -2.53607
98000 0.00561087 0.00427037 -1.52029
99000 -0.00559446 -0.0101646 0.50082
100000 -0.0371989 0.000592087 1.71058
