# Time-averaged data for fix 3
# TimeStep v_xstress v_ystress v_zstress
1000 -0.0198179 -0.0165133 1.23859
2000 0.0263015 0.0225023 4.2192
3000 -0.000647928 0.0042624 7.07106
4000 0.00598453 0.00314553 9.82346
5000 0.00309709 0.00223776 12.497
6000 0.000425175 0.0054738 15.0633
7000 0.00280077 0.00052515 17.555
8000 0.00293739 0.00322113 19.9708
9000 -0.00391932 -0.00629123 22.3247
10000 0.00696762 0.00368581 24.6097
11000 0.000493718 0.00551754 26.833
12000 0.00660681 0.00185418 28.996
13000 0.00223093 0.00439775 31.0879
14000 0.000680775 0.00296596 33.123
15000 0.00437421 0.00183967 35.1032
16000 0.000176769 0.00188038 37.0331
17000 0.0055299 0.00121198 38.8999
18000 -0.00210553 0.00554866 40.7003
19000 0.00807855 -0.000597564 42.4373
20000 -0.000612004 0.00841543 44.1143
21000 0.00133552 -0.00189061 45.7311
22000 0.00219648 -0.00412626 47.281
23000 -0.00254616 0.00536525 48.7694
24000 0.0070386 -0.000598759 50.2011
25000 -0.00357027 0.00642569 51.5852
26000 0.0103138 0.00249447 52.9055
27000 0.00245578 0.00808413 54.1581
28000 -9.14142e-05 -0.00369057 55.3595
29000 -0.000941413 -0.0031638 56.5203
30000 -0.000341432 0.00560769 57.6314
31000 0.00838938 0.000881299 58.6606
32000 0.00171184 0.0101505 59.6573
33000 -0.00731879 -0.0130303 60.5843
34000 0.00514943 0.0103879 61.48
35000 0.0122655 0.00644997 62.3246
36000 -0.00434154 -0.000174708 63.1245
37000 -0.00366977 -0.00846421 63.8846
38000 0.00768313 0.012684 64.6175
39000 7.0783e-06 -0.00532206 65.3108
40000 0.00289875 0.0075029 65.9815
41000 -0.00217104 -0.00470139 66.6212
42000 0.00338429 0.00553788 67.2486
43000 0.00536188 0.00515987 67.853
44000 -0.001452 -0.0028912 68.4454
45000 0.00351221 0.00450413 69.0329
46000 -0.00161754 -0.00340893 69.6157
47000 0.00397573 0.00795321 70.2024
48000 -0.000923432 -0.00171986 70.7919
49000 0.00653441 0.00530589 71.3813
50000 -0.00498328 -0.00605645 71.9878
51000 0.0085866 0.00969797 72.617
52000 -0.0039181 -0.00742099 73.2773
53000 0.00347534 0.00981922 73.9084
54000 -0.00200449 -0.00421858 74.6301
55000 0.00390111 0.00556139 75.4092
56000 0.00336132 -0.00081902 76.2225
57000 0.00271324 0.00276116 77.1104
58000 -0.000192433 -0.00193976 78.1168
59000 0.00372813 0.00760827 79.2959
60000 -0.00471157 -0.00147466 80.5101
61000 0.00840062 0.00126497 81.927
62000 0.00119269 0.00605517 83.6666
63000 0.00235337 -0.00152597 85.5732
64000 -0.00297794 -0.00107667 87.7091
65000 0.00268231 0.00423013 90.1483
66000 0.0053567 0.00128533 92.893
67000 -0.0029566 0.0036999 95.8879
68000 0.00513806 -0.000514138 99.0788
69000 0.0028575 0.00542737 102.438
70000 0.000492596 -2.01695e-05 106.036
71000 0.00262113 9.87495e-05 109.764
72000 0.000549087 0.00263639 113.716
73000 0.00463871 0.00388696 117.884
74000 0.00056136 0.00182542 122.358
75000 0.00161907 0.00227394 127.158
76000 0.00127542 -1.05727e-05 132.356
77000 0.00420414 0.00440503 137.992
78000 0.00171108 0.00254573 143.878
79000 -0.0277914 -0.0349573 105.038
80000 -0.00138159 -0.000197541 50.5224
81000 0.00051183 -3.71917e-06 34.5592
82000 -0.00356905 -0.00351342 21.8793
83000 0.000188639 -0.000349952 0.618142
84000 -0.00340237 -0.00743906 -23.0234
85000 0.00717706 0.00767004 -2.62153
86000 0.00636246 0.00134542 5.54865
87000 -0.00769239 -0.01959 5.68336
88000 -0.000199165 0.0146063 -5.18847
89000 0.0117345 0.00488562 -5.09863
90000 0.000196393 -0.0103272 4.06563
91000 -0.010624 0.0128804 4.52463
92000 0.00710296 -0.0221855 -4.47211
93000 0.000325992 0.0244349 -3.22196
94000 -0.0121229 -0.00185469 4.109
95000 0.0276188 -0.00983897 2.08649
96000 -0.0283205 0.0123091 -4.92303
97000 0.0247772 0.00495309 -0.4747
98000 -0.0150022 -0.0219113 4.51509
99000 -0.000926104 0.0273439 -0.141484
100000 0.0209222 -0.0166201 -5.24685
