Angle,Fracture Stress (GPa)
1,132.168512005415
3,127.487419032717
5,127.529245873483
7,124.109354720994
11,125.317891503788
13,124.33619157307
15,120.693105026817
17,121.062315931991
19,124.775091959048
,
