Angle,Young's Modulus (GPa)
1,375.3161813585068
3,374.7350861533141
5,373.95309247575256
7,375.3391611771566
9,374.9304031706333
11,375.3433972336954
13,375.08035968494363
15,375.2304208736821
17,375.2394040513304
19,375.2131798211398
