Angle,Fracture Stress (GPa)
1,135.55005415208
3,134.284057259186
5,129.964747149954
7,129.427129699547
9,129.393974515495
11,124.060816109104
13,127.606863584589
15,130.916111790189
17,129.005386270923
19,128.020429078576
