Angle,Fracture Stress (GPa)
1,112.097211219623
3,111.133226004182
5,111.684410335535
7,108.79934877179
9,108.177530256378
11,106.641526472252
13,108.162262001003
15,101.828612295486
17,106.864571310692
19,106.261969018476
