Angle,Young's Modulus (GPa)
1,456.73463001572503
3,456.1071344586195
5,455.96085294697446
7,454.0115295788576
11,456.1755629209007
13,456.502539086473
15,454.0693682523137
17,456.7591396466054
19,454.4131710234359
,
