Angle,Young's Modulus (GPa)
1,455.6781832919333
3,456.2199840839774
5,456.2618230352666
7,455.6547533271229
9,456.11375361908034
11,456.7679150283783
13,456.27128560913917
15,455.74772822830255
17,456.16675669520214
19,456.031932087727
