Angle,Fracture Stress (GPa)
1,183.375771686284
3,180.433944590546
5,184.529937253995
7,179.857905516406
9,175.370802607028
11,180.883149192662
13,179.138228175146
15,177.548502861487
17,180.550722253099
19,177.245539041507
