Angle,Young's Modulus (GPa)
1,643.9874063291426
3,643.0254700967812
5,646.2225258090328
7,644.9460898942789
9,644.3603698015094
11,644.0199376823083
13,644.9342311812252
15,645.6565041001099
17,644.6491183139195
19,644.8076473810786
