Angle,Fracture Stress (GPa)
1,199.155236818066
3,179.453157822047
5,188.26352484578
7,190.955104014467
9,188.387257697763
11,184.322350006773
13,179.194751274725
15,180.448890307407
17,182.599237716499
19,173.183919022202
