Angle,Young's Modulus (GPa)
1,645.0333570727789
3,641.7725853121831
5,642.6205659633767
7,643.0628717224849
9,643.896680626408
11,642.5368833821042
13,641.8287377385577
15,643.6309540253665
17,642.4294627964834
19,643.3451266797738
