Angle,Young's Modulus (GPa)
1,373.477783169088
3,374.8955027547163
5,376.49245575507337
7,376.03473571249316
9,375.6265281396237
11,376.18018907777383
13,375.7816077693623
15,375.31937890575983
17,376.0943200043341
19,375.77030257253006
