Angle,Fracture Stress (GPa)
1,124.752080783108
3,121.445228760788
5,120.088775889141
7,121.511367544063
9,119.984210135884
11,118.423776099596
13,120.680545575048
15,116.693008488849
17,119.776237854985
19,115.324100299665
