Angle,Young's Modulus (GPa)
1,490.5165740421901
3,492.40608564036023
5,490.5069175085882
7,488.51839343465593
9,494.3814561759668
11,493.9529547883412
13,493.38536484122903
15,493.9138415753973
17,494.5549992420357
19,491.2153151460502
