Angle,Young's Modulus (GPa)
1,533.042658273556
3,533.5973507637257
5,533.7046842735043
7,532.2784445626193
9,533.280775617237
11,533.9783987077741
13,533.8159624403703
15,532.8044781629341
17,534.068446043445
19,532.5765070637182
