Angle,Young's Modulus (GPa)
1,521.4306717588425
3,517.5355401034459
5,515.7388631469989
7,515.5713572310892
9,518.2194195487325
11,518.2745871221125
13,517.7882626305103
15,517.8058421437587
17,518.0790467697952
19,515.8286192009009
