Angle,Fracture Stress (GPa)
1,168.200985418125
3,144.892547692373
5,151.976063097694
7,148.737982782903
9,148.227144763684
11,144.728727573798
13,142.146387366338
15,138.37615773202
17,144.093955335967
19,141.559526596191
