Angle,Fracture Stress (GPa)
1,150.500015647102
3,146.555976450337
5,148.740207319842
7,146.319275832182
9,145.002613964623
11,145.401027744694
13,145.143729622476
15,144.603309614867
17,142.093714809528
19,137.73288343556
