Angle,Young's Modulus (GPa)
1,415.35999249627395
3,415.639202011757
5,415.4508683161763
7,415.9241530585985
9,415.2299688896372
11,416.1597141008781
13,416.07261728080374
15,415.6927585753623
17,415.80179809503073
19,414.96358211370136
