Angle,Fracture Stress (GPa)
1,160.148304093073
3,150.2193460095
5,152.900405518036
7,149.334893557345
9,153.475683766595
11,149.67993179101
13,153.371548387866
15,153.120204066487
17,150.621016650254
19,150.568015623583
