Angle,Fracture Stress (GPa)
1,153.976049208901
3,144.481233863629
5,139.785878266593
7,141.947438175785
9,146.85789803419
11,145.963737988818
13,147.66680359354
15,143.53271567757
17,146.106731002229
19,142.84088634379
