Angle,Fracture Stress (GPa)
1,119.043462417195
3,115.9448049526
5,108.28271047076
7,110.728654557381
9,111.677956809064
11,111.102371237335
13,110.669127281914
15,110.530093350361
17,108.771747106587
19,109.027656018076
