Angle,Young's Modulus (GPa)
1,523.867128669781
3,526.5082707965704
5,525.5862912235266
7,526.1491452855132
9,527.3005236709455
11,525.9761730521062
13,526.7579319705798
15,526.4659366633247
17,526.2616836813422
19,526.8018518560191
