Angle,Young's Modulus (GPa)
1,348.515599925456
3,377.3302501955098
5,368.2936904786016
7,372.10688321565306
9,372.20790336784063
11,373.04763436862584
13,373.474405712741
15,372.2532753178933
17,371.88940739351494
19,371.6920693579928
